Key,year,month,day_of_month,full_date,time_of_game,away_team_name,away_team_league,home_team_name,home_team_league
1987,2016,04,28,04/28/2016,08:40 PM,Cardinals,NL,Diamondbacks,NL
796,2016,04,28,04/28/2016,09:10 PM,Marlins,NL,Dodgers,NL
1441,2016,04,28,04/28/2016,12:10 PM,Athletics,AL,Tigers,AL
638,2016,04,29,04/29/2016,01:20 PM,Braves,NL,Cubs,NL
23,2016,04,29,04/29/2016,06:05 PM,White Sox,AL,Orioles,AL
1053,2016,04,29,04/29/2016,06:05 PM,Indians,AL,Phillies,NL
1729,2016,04,29,04/29/2016,06:05 PM,Reds,NL,Pirates,NL
931,2016,04,29,04/29/2016,06:10 PM,Giants,NL,Mets,NL
439,2016,04,29,04/29/2016,06:10 PM,Blue Jays,AL,Rays,AL
182,2016,04,29,04/29/2016,06:10 PM,Yankees,AL,Red Sox,AL
2120,2016,04,29,04/29/2016,07:05 PM,Angels,AL,Rangers,AL
797,2016,04,29,04/29/2016,07:10 PM,Marlins,NL,Brewers,NL
1442,2016,04,29,04/29/2016,07:10 PM,Tigers,AL,Twins,AL
1141,2016,04,29,04/29/2016,07:15 PM,Nationals,NL,Cardinals,NL
2253,2016,04,29,04/29/2016,08:40 PM,Rockies,NL,Diamondbacks,NL
2036,2016,04,29,04/29/2016,09:05 PM,Astros,AL,Athletics,AL
2383,2016,04,29,04/29/2016,09:10 PM,Padres,NL,Dodgers,NL
