Key,year,month,day_of_month,full_date,time_of_game,away_team_name,away_team_league,home_team_name,home_team_league
289,2016,04,25,04/25/2016,07:10 PM,Indians,AL,Twins,AL
290,2016,04,25,04/25/2016,07:40 PM,Pirates,NL,Rockies,NL
291,2016,04,25,04/25/2016,08:40 PM,Cardinals,NL,Diamondbacks,NL
292,2016,04,25,04/25/2016,09:05 PM,Royals,AL,Angels,AL
293,2016,04,25,04/25/2016,09:10 PM,Marlins,NL,Dodgers,NL
294,2016,04,25,04/25/2016,09:10 PM,Astros,AL,Mariners,AL
295,2016,04,25,04/25/2016,09:15 PM,Padres,NL,Giants,NL
296,2016,04,26,04/26/2016,06:05 PM,Phillies,NL,Nationals,NL
297,2016,04,26,04/26/2016,06:07 PM,White Sox,AL,Blue Jays,AL
298,2016,04,26,04/26/2016,06:10 PM,Red Sox,AL,Braves,NL
299,2016,04,26,04/26/2016,06:10 PM,Reds,NL,Mets,NL
300,2016,04,26,04/26/2016,06:10 PM,Orioles,AL,Rays,AL
301,2016,04,26,04/26/2016,06:10 PM,Athletics,AL,Tigers,AL
302,2016,04,26,04/26/2016,07:05 PM,Brewers,NL,Cubs,NL
303,2016,04,26,04/26/2016,07:05 PM,Yankees,AL,Rangers,AL
304,2016,04,26,04/26/2016,07:10 PM,Indians,AL,Twins,AL
305,2016,04,26,04/26/2016,07:40 PM,Pirates,NL,Rockies,NL
306,2016,04,26,04/26/2016,08:40 PM,Cardinals,NL,Diamondbacks,NL
307,2016,04,26,04/26/2016,09:05 PM,Royals,AL,Angels,AL
308,2016,04,26,04/26/2016,09:10 PM,Marlins,NL,Dodgers,NL
309,2016,04,26,04/26/2016,09:10 PM,Astros,AL,Mariners,AL
310,2016,04,26,04/26/2016,09:15 PM,Padres,NL,Giants,NL
311,2016,04,27,04/27/2016,02:45 PM,Padres,NL,Giants,NL
312,2016,04,27,04/27/2016,06:05 PM,Phillies,NL,Nationals,NL
313,2016,04,27,04/27/2016,06:07 PM,White Sox,AL,Blue Jays,AL
314,2016,04,27,04/27/2016,06:10 PM,Reds,NL,Mets,NL
315,2016,04,27,04/27/2016,06:10 PM,Orioles,AL,Rays,AL
316,2016,04,27,04/27/2016,06:10 PM,Braves,NL,Red Sox,AL
317,2016,04,27,04/27/2016,06:10 PM,Athletics,AL,Tigers,AL
318,2016,04,27,04/27/2016,07:05 PM,Brewers,NL,Cubs,NL
319,2016,04,27,04/27/2016,07:05 PM,Yankees,AL,Rangers,AL
320,2016,04,27,04/27/2016,07:10 PM,Indians,AL,Twins,AL
