playername|playerid
Jack Egbert|7487.0
Jose Dominguez|11571.0
Ike Davis|8433.0
Ryan Raburn|2218.0
Alberto Gonzalez|4906.0
Dan Runzler|4080.0
Joe Mather|3714.0
Dana Eveland|5508.0
Jo-Jo Reyes|5559.0
Sam Fuld|8254.0
Chris Denorfia|4400.0
Alexi Amarista|9063.0
Lyle Overbay|1617.0
Josh Harrison|8202.0
Pedro Beato|1330.0
Wilking Rodriguez|8801.0
Jose Cisnero|6399.0
Daniel Descalso|8392.0
Cesar Cabral|6741.0
Jose Arredondo|4722.0
Shane Robinson|4249.0
Nicholas Goody|13685.0
Edgar Ibarra|5195.0
Tim Byrdak|1995.0
Adam Dunn|319.0
Fautino De Los Santos|5841.0
Mario Hollands|10504.0
Zach Lee|11468.0
Mike Broadway|9894.0
Garrett Olson|9889.0
Jeff Mathis|3448.0
Luke Jackson|11752.0
Red Patterson|10710.0
DeWayne Wise|1554.0
Justin Thomas|9910.0
Ryota Igarashi|10232.0
John Baker|4756.0
Scott Alexander|10591.0
Dylan Bundy|12917.0
Daniel Coulombe|13293.0
Marcus Hatley|4002.0
Ryan Buchter|9456.0
Craig Gentry|9571.0
Alexei Ramirez|5133.0
Chris Leroux|7645.0
Matthew Tracy|12240.0
Zach Clark|9189.0
Tyler Moore|7244.0
Jon Moscot|13849.0
Ross Wolf|4534.0
Sam Freeman|6832.0
Brian Omogrosso|1353.0
Phil Irwin|9489.0
Yoshinori Tateyama|11651.0
Stuart Pomeranz|6382.0
Ryan Brasier|5615.0
Arnold Leon|5595.0
Chris Bootcheck|1842.0
Ryan O'Rourke|10976.0
Travis Snider|2830.0
Brad Mills|4420.0
Adrian Houser|12718.0
Jeff Beliveau|8504.0
Andrew Taylor|7896.0
Barry Zito|944.0
Shawn Hill|1882.0
Andrew Carignan|2431.0
Taylor Hill|12515.0
Justin Marks|10265.0
Jacob Brigham|2851.0
Ryan Reid|9385.0
Andrew Faulkner|12982.0
Garrett Jones|2714.0
Colton Murray|12264.0
Archie Bradley|12918.0
Sergio Santos|4734.0
Mike MacDougal|612.0
Raudel Lazo|14077.0
Scott Maine|885.0
Scott Barnes|8718.0
Dustin Moseley|7060.0
Pat McCoy|6605.0
Steve Edlefsen|2185.0
Gonzalez Germen|5876.0
Bobby Korecky|4608.0
Rodrigo Lopez|150.0
Sam Demel|868.0
Junior Guerra|5702.0
Brian Schlitter|3599.0
Bradin Hagens|7422.0
Josh Osich|11528.0
Barret Browning|9356.0
Scott Richmond|4307.0
Seth Rosin|10606.0
Skip Schumaker|3704.0
Matt Maloney|9920.0
Drew Butera|3411.0
Guillermo Mota|1467.0
Miguel Gonzalez|15675.0
Jake Elmore|7290.0
Marcos Mateo|6869.0
Matt Capps|4788.0
Juan Gutierrez|3265.0
Trevor Bell|7074.0
Pedro Feliciano|1601.0
C.C. Lee|5177.0
Brian Bogusevic|4719.0
Abel De Los Santos|12962.0
David Rollins|11928.0
Michael Tonkin|10315.0
Erik Cordier|4086.0
Rob Rasmussen|11250.0
Jonathan Albaladejo|3521.0
Branden Pinder|12093.0
Jonny Gomes|1845.0
Bruce Billings|3044.0
Mike McClendon|9587.0
Cory Burns|6620.0
Josh Wilson|2102.0
Luis Perdomo|5380.0
Justin Freeman|7568.0
Elvin Ramirez|2247.0
Jesus Sucre|5942.0
Greg Reynolds|5712.0
Logan Kensing|6166.0
Rafael Perez|4078.0
Wilmer Font|5257.0
Mike Carp|7480.0
Nick Franklin|10166.0
Rudy Owens|5226.0
D.J. Mitchell|5354.0
Jarrett Grube|7553.0
John Cornely|12364.0
Brett Bochy|11867.0
Rich Thompson|6422.0
David Murphy|6035.0
Daniel Burawa|11397.0
Jonathan Aro|14699.0
Anthony Recker|4063.0
Chang-Yong Lim|14445.0
Michael Mariot|10835.0
David Purcey|8360.0
Chia-Jen Lo|5440.0
Aneury Rodriguez|8948.0
Blake Wood|1345.0
Jose De Paula|5744.0
Michael Roth|13736.0
Hiram Burgos|9412.0
Mike Foltynewicz|10811.0
Cody Hall|12232.0
Roman Mendez|10307.0
Matt Palmer|4457.0
Matt Langwell|8130.0
Leury Garcia|5913.0
Angel Castro|3243.0
Juan Jaime|6127.0
Leyson Septimo|341.0
Marco Gonzales|15467.0
Ryan Verdugo|9154.0
Michael Feliz|11903.0
Juan Perez|2557.0
Jeff Francoeur|4792.0
Juan Cruz|273.0
Micah Owings|4253.0
Drew Rucinski|12499.0
Daniel McCutchen|263.0
Matt Marksberry|15089.0
Andrew Romine|1159.0
Scott Snodgress|12020.0
Alex Claudio|12890.0
Akeel Morris|12185.0
Heath Hembree|11632.0
Chris Volstad|9901.0
John Ely|6132.0
Cory Mazzoni|12537.0
Brandon Dickson|6979.0
Adam Rosales|9682.0
Jose De La Torre|787.0
Rafael Martin|10258.0
Taylor Thompson|10019.0
Lucas Luetge|8337.0
Steve Geltz|8402.0
Michael Belfiore|9324.0
Doug Slaten|3107.0
Hector Neris|11804.0
John Maine|4773.0
D.J. Carrasco|1666.0
Casey Crosby|5261.0
David Pauley|3625.0
Ramon Ramirez|7986.0
Cam Bedrosian|13360.0
Daniel Winkler|12237.0
Kevin Whelan|3462.0
Onelki Garcia|13674.0
Kyle Ryan|11753.0
Angel Nesbitt|13415.0
Casper Wells|9700.0
Zach Phillips|99.0
Michael Bowden|4440.0
Preston Guilmet|7303.0
Jeff Ferrell|11506.0
Williams Perez|11592.0
Hideki Okajima|7763.0
Luis Marte|8651.0
Jason Garcia|12143.0
Thad Weber|8036.0
Lester Oliveros|9167.0
Toru Murata|11652.0
Spencer Patton|12361.0
